Drug Name	Disease Name
AL3037A	Glaucoma|Ocular Hypertension
oblimersen	Melanoma|Lymphoma, B-Cell|Multiple Myeloma|Leukemia, Lymphocytic, Chronic, B-Cell
3,4-diaminopyridine	Paralysis|Muscle Weakness
dienogest	Acne Vulgaris|Dysmenorrhea
PD 123319	Myocardial Reperfusion Injury|Reperfusion Injury
Cyclandelate	Blindness
acetamide	Plant Poisoning
meradine	Kidney Diseases
Thiorphan	Diarrhea
Protein Kinase Inhibitors	Infarction, Middle Cerebral Artery|Neurobehavioral Manifestations
olmesartan	Myocardial Reperfusion Injury|Hyperplasia|Albuminuria|Plaque, Atherosclerotic|Cardiomegaly|Kidney Diseases|Necrosis|Hypertension, Renal|Diabetic Nephropathies|Spinal Cord Ischemia|Reperfusion Injury|Hypertension|Nerve Degeneration|Drug-Induced Liver Injury|Myocardial Infarction|Fibrosis|Proteinuria
24-methylenecycloartenol	Pain
beta-elemene	Kidney Neoplasms
hematide	Anemia
Azetidines	Dyskinesia, Drug-Induced|Catalepsy|Catatonia
Phenothiazines	Vomiting|Nausea
efavirenz	HIV Infections
LY 171883	Bronchial Hyperreactivity|Pulmonary Edema
Arsenamide	Amebiasis|Parasitic Diseases
Mentat	Hyperkinesis|Substance Withdrawal Syndrome|Catalepsy
Maxepa	Breast Neoplasms
Dimyristoylphosphatidylcholine	Mycoses
Meprobamate	Seizures|Colonic Diseases, Functional|Paralysis|Dysarthria|Alcohol Withdrawal Delirium
Isoniazid	Drug Hypersensitivity|Tuberculosis, Lymph Node|Latent Tuberculosis|Gastrointestinal Diseases|Tuberculosis, Pulmonary|Tuberculosis, Pleural|Tuberculosis, Spinal|Hepatitis|Tuberculosis, Gastrointestinal|Pregnancy Complications, Infectious|Tuberculosis, Meningeal|Tuberculosis, Central Nervous System|Mycobacterium Infections, Nontuberculous|Tuberculosis|Shock, Septic|Tuberculosis, Multidrug-Resistant|Nervous System Diseases|HIV Infections|Mycobacterium Infections|Wounds and Injuries
dipropylacetamide	Seizures|Sleep Disorders
thieno(2,3-c)isoquinolin-5-one	Plaque, Atherosclerotic|Atherosclerosis|Lung Diseases|Eosinophilia|Inflammation|Brain Ischemia
Bromhexine	Xerostomia|Sjogren's Syndrome
serofendic acid	Nerve Degeneration
lupeol linoleate	Hypercholesterolemia|Cardiomyopathies
Butorphanol	Labor Pain|Hyperalgesia|Pain|Pain, Postoperative
rifaximin	Inflammatory Bowel Diseases
Organoselenium Compounds	Pain|Liver Neoplasms, Experimental|Diabetic Nephropathies|Neoplasms|Weight Loss|Breast Neoplasms
L-161982	Hyperalgesia
heyneanol A	Carcinoma, Lewis Lung
Etanidazole	Esophageal Neoplasms|Lung Neoplasms
sequinavir	HIV Infections
Serotonin 5-HT3 Receptor Antagonists	Urinary Bladder Neoplasms
7-methyl-6,7,8,9,14,15-hexahydro-5H-benz(d)indolo(2,3-g)azecine	Cocaine-Related Disorders
VADIC protocol	Fibrosarcoma
Clozapine	Psychoses, Substance-Induced|Seizures|Prenatal Exposure Delayed Effects|Learning Disorders|Movement Disorders|Parkinsonian Disorders|Nervous System Diseases|Dyskinesia, Drug-Induced|Substance Withdrawal Syndrome|Pain|Confusion|Cocaine-Related Disorders|Hallucinations|Tremor|Hyperkinesis|Parkinson Disease|Dystonia|Psychomotor Agitation|Catalepsy|Lewy Body Disease|Dementia|Epilepsy|Chorea|Tobacco Use Disorder|Catatonia|Hyponatremia
peoniflorin	Radiation Injuries|Dermatitis, Allergic Contact|Hypotension|Amnesia
6-amino-2-(N, N-di-n-propylamino)thiazolo(4,5-f)indan	Parkinson Disease|Dyskinesia, Drug-Induced
4-demethoxy-3'-deamino-3'-aziridinyl-4'-methylsulfonyldaunorubicin	Osteosarcoma|Breast Neoplasms|Leukemia|Small Cell Lung Carcinoma|Ovarian Neoplasms
12-(3-adamantan-1-ylureido)dodecanoic acid	Brain Infarction|Hypertension
etifoxine	Seizures
Sodium Chloride, Dietary	Hyperkalemia|Hypotension|Renal Insufficiency|Kidney Diseases
parthenolide	Stomach Neoplasms|Hypersensitivity, Delayed|Prostatic Neoplasms|Neoplasms|Breast Neoplasms|Urinary Bladder, Overactive|Inflammation|Neovascularization, Pathologic
Catharanthus roseus Linn. extract	Hypertension
1-(2-(3-(4-methoxyphenyl)propoxy)-4-methoxyphenylethyl)-1H-imidazole	Hyperalgesia
Canagliflozin	Diabetes Mellitus, Type 2
betamethasone acetate phosphate	Optic Neuritis
Aminosalicylic Acid	Tuberculosis, Multidrug-Resistant|Tuberculosis
fipronil	Mite Infestations
arachidonyl-2-chloroethylamide	Hyperalgesia
darbufelone	Lung Neoplasms
tectoridin	Fatty Liver|Drug-Induced Liver Injury
thiophene-2-carboxylate	Hepatitis C
dihydrocodeine	Osteoarthritis|Cough|Pain|Pain, Postoperative
cimadronate	Neoplasm Metastasis|Breast Neoplasms|Bone Neoplasms|Pain, Intractable
Cyclopenthiazide	Hypertension, Malignant|Hypertension|Heart Failure
JP-1302	Catalepsy|Hypokinesia
Ergotamines	Migraine Disorders|Dysmenorrhea
ChlVPP protocol	Hodgkin Disease
8-phenyltheophylline	Hypotension|Hyperemia
cyclohexene oxide	Ovarian Diseases
4-diphenylacetoxy-1,1-dimethylpiperidinium	Seizures|Muscle Rigidity
methyl 2-cyano-3,12-dioxoolean-1,9-dien-28-oate	Acute Kidney Injury|Reperfusion Injury|Necrosis|Kidney Tubular Necrosis, Acute|Lung Neoplasms|Kidney Diseases
Caffeine	Seizures|Abnormalities, Drug-Induced|Liver Neoplasms, Experimental|Liver Failure, Acute|Learning Disorders|Adenocarcinoma|Inflammation|Brain Injuries|Hyperemia|Lung Neoplasms|Obesity|Stomach Neoplasms|Liver Cirrhosis, Experimental|Fever|Apnea|MPTP Poisoning|Pain|Liver Neoplasms|Adenoma|Hyperalgesia|Insulin Resistance|Cocaine-Related Disorders|Memory Disorders|Neoplasms, Experimental|Mammary Neoplasms, Animal|Hypotension|Sleep Deprivation|Necrosis|Sarcoma, Ewing|Cadmium Poisoning|Hyperkinesis|Myocardial Ischemia|Parkinson Disease|Infant, Premature, Diseases|Glycosuria|Catalepsy|Carcinoma, Squamous Cell|Substance-Related Disorders|Basal Ganglia Diseases|Skin Neoplasms|Post-Dural Puncture Headache|Hypertension|Sarcoma|Migraine Disorders|Mammary Neoplasms, Experimental
gossypetin	Hypercholesterolemia|Atherosclerosis|Hypertriglyceridemia
astressin	Hyperalgesia
isosorbide-hydralazine combination	Ventricular Dysfunction, Left|Heart Failure
Meclofenoxate	Abnormalities, Drug-Induced|Amnesia|Hypokinesia
pseudoginsenoside F11	Nervous System Diseases
alpha-conotoxin MII	Substance Withdrawal Syndrome
Methazolamide	Cardiomegaly|Glaucoma|Tremor|Glaucoma, Angle-Closure
adrogolide hydrochloride	Parkinson Disease|Cocaine-Related Disorders|Parkinson Disease, Secondary
Oxymetholone	Hemoglobinuria, Paroxysmal|Red-Cell Aplasia, Pure|Multiple Myeloma|Pancytopenia|Anemia, Aplastic|Insulin Resistance
chlorhexidine gluconate, lidocaine drug combination	Staphylococcal Infections|Urinary Tract Infections
CD 437	Urinary Bladder Neoplasms|Ovarian Neoplasms
hexaminecobalt (III) trichloride	Liver Neoplasms
syntometrine	Postpartum Hemorrhage
baicalin	Liver Cirrhosis, Experimental|Reperfusion Injury|Prostatic Neoplasms|Liver Diseases|Inflammation|Fibrosis|Brain Ischemia
Sulindac	Seizures|Melanoma|Rheumatic Diseases|Fibromatosis, Aggressive|Fibromatosis, Abdominal|Inflammation|Diabetic Retinopathy|Liver Cirrhosis, Biliary|Lung Neoplasms|Gastroesophageal Reflux|Fever|Pain|Arthritis|Osteoarthritis|Intestinal Polyps|Adenoma|Breast Neoplasms|Bowen's Disease|Uterine Neoplasms|Precancerous Conditions|Exophthalmos|Memory Disorders|Neoplasms, Experimental|Esophageal Neoplasms|Colorectal Neoplasms|Diabetic Neuropathies|Arthritis, Rheumatoid|Intestinal Neoplasms|Endometriosis|Catalepsy|Pancreatic Neoplasms|Kidney Failure, Chronic|Adenomatous Polyposis Coli|Mixed Connective Tissue Disease|Abdominal Neoplasms|Colonic Neoplasms|Adenocarcinoma|Adenomatous Polyps|Neurodegenerative Diseases
Benactyzine	Brain Edema|Organophosphate Poisoning
chlorin e6	Breast Neoplasms|Adenocarcinoma
ACTH (4-10)	Epilepsy
Niridazole	Liver Abscess, Amebic
sezolamide	Hyperplasia|Urinary Bladder Diseases
Lisinopril	Diabetic Nephropathies|Glomerulosclerosis, Focal Segmental|Pulmonary Edema|Ventricular Remodeling|Diabetic Retinopathy|Fibrosis|Liver Cirrhosis, Experimental|Heart Failure|Cardiomegaly|Hypertriglyceridemia|Glomerulonephritis, IGA|Hypertension, Malignant|Myocardial Infarction|Pulmonary Fibrosis|Hypertension|Kidney Diseases|Hypertrophy, Left Ventricular|Diabetic Neuropathies|Ventricular Dysfunction, Left|Albuminuria|Hyperlipidemias|Hypercholesterolemia|Ventricular Dysfunction|Proteinuria
theophylline, salbutamol drug combination	Asthma
perilla seed oil	Prostatic Intraepithelial Neoplasia
Huang Qi	Learning Disorders|Memory Disorders|Heart Failure
Lipids	Liver Cirrhosis, Experimental|Cardiovascular Diseases|Inflammation|Drug-Induced Liver Injury|Nervous System Diseases|Heart Arrest
MK-0524	Hypercholesterolemia|Flushing|Dyslipidemias
U 0521	Catalepsy
bromantane	Memory Disorders
tin protoporphyrin IX	Arthritis, Experimental
halofuginone	Liver Cirrhosis|Hyperplasia|Cryptosporidiosis|Skin Diseases|Liver Cirrhosis, Experimental
Wen-pi-tang-Hab-Wu-ling-san	Kidney Diseases|Reperfusion Injury|Fibrosis
ecallantide	Hereditary Angioedema Type III|Angioedemas, Hereditary
linopirdine	Hyperkinesis|Learning Disorders|Amnesia
petunidin	Retinal Diseases
N-(2-(4-(2-methoxyphenyl)-1-piperazinyl)ethyl)-N-(2-pyridinyl)cyclohexanecarboxamide	Amnesia, Anterograde|Tremor|Hyperalgesia|Cocaine-Related Disorders
ACF protocol	Breast Neoplasms
Cyclosporine	Seizures|Nephrosis, Lipoid|Acute Kidney Injury|Thrombocytopenia|Postoperative Complications|Graft vs Host Disease|Cholestasis|Diarrhea|Glomerulosclerosis, Focal Segmental|Anemia, Hemolytic, Autoimmune|Immune System Diseases|Movement Disorders|Cardiomyopathies|Inflammation|Kidney Tubular Necrosis, Acute|Exanthema|Spermatic Cord Torsion|Hepatitis B, Chronic|Psoriasis|Dyskinesia, Drug-Induced|Xerophthalmia|Behcet Syndrome|Purpura, Thrombocytopenic, Idiopathic|Scleroderma, Localized|Breast Neoplasms|Substance Withdrawal Syndrome|Myasthenia Gravis|Necrosis|Intestinal Diseases|Eye Diseases|Hemoglobinuria, Paroxysmal|Autoimmune Diseases|Precursor Cell Lymphoblastic Leukemia-Lymphoma|Kidney Diseases|Shock|Renal Insufficiency|Nephrotic Syndrome|Hypertrophy, Left Ventricular|Keratoconjunctivitis Sicca|Pemphigus|Hepatitis C|Metal Metabolism, Inborn Errors|Uveitis|Precursor T-Cell Lymphoblastic Leukemia-Lymphoma|Stevens-Johnson Syndrome|Stomatitis, Aphthous|Status Epilepticus|Nerve Degeneration|Nephritis, Interstitial|Hematologic Diseases|Uveitis, Posterior|Hearing Loss, Sensorineural|Ovarian Neoplasms|Osteosarcoma|Anemia, Aplastic|Proteinuria|Ulcer|Arthritis, Rheumatoid|Arthritis, Experimental|Wegener Granulomatosis
S-methylthiocitrulline	Seizures|Status Epilepticus
Cyclosporins	Graft vs Host Disease|Arthritis, Rheumatoid|Arthritis, Psoriatic
boric acid, nitrofurazone, procaine drug combination	Surgical Wound Infection|Skin Diseases, Infectious|Wounds and Injuries
1-(4-(2-(bis(4-fluorophenyl)methoxy)ethyl)piperazinyl)-3-phenylpropan-2-ol	Cocaine-Related Disorders
Talampicillin	Urinary Tract Infections
Bongkrekic Acid	Nervous System Diseases|Necrosis|Drug-Related Side Effects and Adverse Reactions
Diazepam	Psychoses, Substance-Induced|Seizures|Epilepsy|Myoclonus|Postoperative Complications|Liver Failure, Acute|Deglutition Disorders|Speech Disorders|Dystonic Disorders|Epilepsy, Complex Partial|Status Epilepticus|Chorea|Stupor|Nerve Degeneration|Muscle Cramp|Brain Injuries|Akathisia, Drug-Induced|Tachycardia|Postoperative Nausea and Vomiting|Dyskinesia, Drug-Induced|Substance Withdrawal Syndrome|Tachycardia, Sinus|Pain|Epilepsy, Tonic-Clonic|Confusion|Hyperalgesia|Hypertriglyceridemia|Epilepsy, Absence|Alcohol Withdrawal Seizures|Cocaine-Related Disorders|Drug-Related Side Effects and Adverse Reactions|Poisoning|Sleep Initiation and Maintenance Disorders|Hallucinations|Tremor|Tetanus|Organophosphate Poisoning|Neuroleptic Malignant Syndrome|Alcohol Withdrawal Delirium|Trismus|Muscular Diseases|Muscle Rigidity|Dyskinesias|Dysarthria|Angina Pectoris|Muscle Hypertonia|Eclampsia|Epilepsies, Myoclonic|Seizures, Febrile|Sexual Dysfunction, Physiological|Acute Coronary Syndrome|Hyperkinesis|Chest Pain|Parkinson Disease|Dystonia|Urination Disorders|Brain Diseases|Fasciculation|Delirium|Hypokalemia|Serotonin Syndrome|Neonatal Abstinence Syndrome|Hypothermia|Gastritis|Epilepsy, Generalized|Basal Ganglia Diseases|Movement Disorders|Glioblastoma|Pain, Postoperative|Urinary Bladder, Overactive|Hypertension|Respiratory Insufficiency|Catatonia|Ataxia|Epilepsies, Partial|Spasm|Psychophysiologic Disorders|Anorexia
N-(3-(5-cyano-6-methylpyridin-2-yloxy)-2,2,4,4-tetramethylcyclobutyl)imidazo(1,2-a)pyrimidine-3-carboxamide	Prostatic Neoplasms
Ser-Phe-Asn-Ser-Tyr-Glu-Leu-Gly-Glu-Ser-Leu	Breast Neoplasms|Testicular Neoplasms|Weight Loss
TA 606	Hypertension
1-(3-(2-(1-benzothiophen-5-yl) ethoxy) propyl)-3-azetidinol maleate	Parkinson Disease|Nervous System Diseases|Alzheimer Disease
Mestranol	Dysmenorrhea
BAM 1120	Dyskinesia, Drug-Induced|Hyperprolactinemia|Prolactinoma
N-(8-amino-1-carboxyoctyl)-alanyl-proline	Cardiomegaly
Calcitonin	Hyperkinesis
Potassium	Acute Kidney Injury|Hypokalemic Periodic Paralysis|Hypokalemia|Heart Failure|Nerve Degeneration|Arthralgia|Diabetic Ketoacidosis|Paralysis|Muscular Diseases|Water-Electrolyte Imbalance|Muscle Weakness|Hypertension|Drug-Related Side Effects and Adverse Reactions|Muscle Cramp|Rhabdomyolysis|Diabetes Mellitus|Tremor|Kidney Diseases|Arrhythmias, Cardiac|Heart Diseases
YM 529	Neoplasm Invasiveness|Neoplasm Metastasis|Osteosarcoma|Osteoporosis
Oxymorphone	Pain|Pain, Postoperative|Cough|Low Back Pain|Nociceptive Pain
desglucoanagalloside B	Neoplasm Invasiveness|Neoplasm Metastasis|Prostatic Neoplasms|Disease Progression
PNU-282987	Nerve Degeneration|Memory Disorders
neuropeptide Y, Leu(31)-Pro(34)-	Hyperalgesia
Foscarnet	Encephalitis, Herpes Simplex|Retinal Necrosis Syndrome, Acute|Acute Kidney Injury|Herpesviridae Infections|Meningitis, Aseptic|Hepatitis, Viral, Human|Myelodysplastic Syndromes|Cytomegalovirus Infections|Water-Electrolyte Imbalance|Retinitis|Uveitis|Cytomegalovirus Retinitis|Calcinosis|HIV Infections|Seizures|Colitis|AIDS-Related Opportunistic Infections
triaquaoxohexakis(propionato)trichromium(III)	Colorectal Neoplasms|Insulin Resistance|Diabetes Mellitus, Type 2
ciprofibrate	Hyperlipidemias|Hypercholesterolemia|Cardiovascular Diseases|Hypertriglyceridemia|Hyperlipoproteinemia Type II|Dyslipidemias
sultamicillin	Abscess|Salmonella Infections|Otitis Media|Escherichia coli Infections|Soft Tissue Infections|Acinetobacter Infections|Sepsis|Pneumonia, Bacterial|Tonsillitis|Peritonitis|Proteus Infections|Staphylococcal Infections|Enterocolitis|Arthritis, Infectious|Urinary Tract Infections|Streptococcal Infections|Endocarditis|Haemophilus Infections|Bone Diseases, Infectious|Clostridium Infections
N-(2-(1-azabicyclo(3.3.0)octan-5-yl)ethyl)-2-nitroaniline	Dementia
2-amino-5-phosphonomethyl(1,1'-biphenyl)-3-propanoic acid	Catalepsy
Phenelzine	Cardiomegaly|Bulimia|Migraine Disorders|Narcolepsy|Tachycardia|Tension-Type Headache|Necrosis
Moclobemide	Hypotension
diphenylantimony diisopropyldithiophosphate	Carcinoma, Ehrlich Tumor|Neoplasms, Experimental
Val-Glu-Pro-Ile-Gly-Tyr	Leishmaniasis, Visceral
3,4,4a,10b-tetrahydro-4-propyl-2H,5H-(1)benzopyrano(4,3-b)-1,4-oxazin-9-ol	Seizures|Cocaine-Related Disorders
Methoxamine	Seizures|Hypotension|Catalepsy
R 115866	Psoriasis|Acne Vulgaris
(+)-JQ1 compound	Drug Hypersensitivity|Neoplasm Invasiveness|Metaplasia|Neuroblastoma|Leukemia, Myeloid, Acute|Cardiomegaly|Eye Abnormalities|Atherosclerosis|Polycystic Kidney Diseases|Seizures|Cocaine-Related Disorders|Proteinuria|Precancerous Conditions|Nephritis|Hypertension, Pulmonary|Lymphoma, Large B-Cell, Diffuse|Pulmonary Fibrosis|Lung Neoplasms|Fibrosis|Pancreatic Neoplasms
Innovar	Tachycardia, Ventricular
ketobemidone	Substance Withdrawal Syndrome|Pain
7,8-dichloro-1,2,3,4-tetrahydroisoquinoline	Hypotension|Bradycardia
diallyl tetrasulfide	Kidney Diseases|Drug-Induced Liver Injury
pyro(l-alpha-aminoadipyl)-L-histidyl-L-thiazolidine-4-carboxamide	Stupor
cholan-2,3,24-tryl-2,3,24-trisulfate	Colitis
CEF regimen	Breast Neoplasms
Tubocurarine	Seizures|Muscular Diseases|Pain|Myotonia|Pain, Postoperative|Hypertension|Fasciculation|Bradycardia
codonoposide	Neoplasms
naphtho(1,2-b)furan-4,5-dione	Neoplasm Invasiveness|Breast Neoplasms|Adenocarcinoma|Neoplasm Metastasis
secramine A	Necrosis
diindolylmethane	Breast Neoplasms
Tranexamic Acid	Hemophilia A|Uterine Hemorrhage|Angioedemas, Hereditary|Menorrhagia|Purpura, Thrombocytopenic, Idiopathic|Necrosis|Postoperative Complications|Disseminated Intravascular Coagulation|Uterine Neoplasms|Angioedema|Intracranial Aneurysm|Drug-Induced Liver Injury|Hemorrhage|Subarachnoid Hemorrhage|Leiomyoma
floctafenine	Pain|Rheumatic Diseases|Headache
2'-deoxy-3'-oxa-thiocytidine	HIV Infections
diphenylmethyl selenocyanate	Acute Kidney Injury
Tiapamil Hydrochloride	Dyskinesia, Drug-Induced|Angina Pectoris|Meige Syndrome|Huntington Disease|Tourette Syndrome|Hypertension|Angina, Stable|Poisoning|Psychomotor Agitation
Catecholamines	Shock, Septic
MOPPEBVCAD protocol	Hodgkin Disease
RD162 compound	Prostatic Neoplasms
PQQ Cofactor	Parkinson Disease, Secondary
camostat	Stomach Ulcer
eurycomanone	Lung Neoplasms
CCE protocol	Lymphoma, Non-Hodgkin
8-(bis(2-methylphenyl)methyl)-3-phenyl-8-azabicyclo(3.2.1)octan-3-ol	Ulcer|Colitis
prothrombin complex concentrates	Hematoma, Subdural|Cerebral Hemorrhage
Hydroxylamine	Drug-Induced Liver Injury
hydrocortisone sodium phosphate	Status Asthmaticus
Phosphatidylserines	Amnesia
adafenoxate	Amnesia
18alpha-glycyrrhetinic acid	Neoplasm Invasiveness
temafloxacin	Staphylococcal Infections|Endocarditis, Bacterial
Disulfides	Poisoning
COPP protocol	Lymphoma, Follicular|Lymphoma, Non-Hodgkin|Hodgkin Disease|Lymphoma, B-Cell
Glycopyrrolate	Trismus|Hypotension|Asthma|Paralysis|Sweating, Gustatory|Sialorrhea|Pulmonary Disease, Chronic Obstructive|Hyperhidrosis|Bradycardia|Tachycardia|Heart Arrest
Dermatologic Agents	Psoriasis
sibutramine	Obesity|Fatty Liver|Insulin Resistance
gamisopoonghwanghyul-tang	Arthritis, Rheumatoid
zeniplatin	Neoplasms|Melanoma|Ovarian Neoplasms
IEM 1925	Seizures|Catalepsy
Carbamazepine	Seizures|Substance Withdrawal Syndrome|Epilepsy, Tonic-Clonic|Myotonic Dystrophy|Prenatal Exposure Delayed Effects|Paresthesia|Diabetic Nephropathies|Encephalomyelitis, Autoimmune, Experimental|Epilepsy, Complex Partial|Radiculopathy|Status Epilepticus|Nerve Degeneration|Myoclonus|Neoplasm Metastasis|Polyuria|Erythromelalgia|Brain Damage, Chronic|Headache|Nervous System Malformations|Pain|Meningitis, Aseptic|Peripheral Nervous System Diseases|Facial Neuralgia|Breast Neoplasms|Hyperalgesia|Cocaine-Related Disorders|Neuralgia, Postherpetic|Tremor|Epilepsy, Rolandic|Diabetes Insipidus, Neurogenic|Myotonia Congenita|Sleep Disorders|Hyperplasia|Dysarthria|Unconsciousness|Catatonia|Diabetes Insipidus, Nephrogenic|Drug Eruptions|Hyperkinesis|Drug-Induced Liver Injury|Dystonia|Dizziness|Psychomotor Agitation|Bradycardia|Seizures, Febrile|Essential Tremor|Neuralgia|Epilepsy, Generalized|Epilepsy|Epilepsy, Temporal Lobe|Isaacs Syndrome|Hemifacial Spasm|Trigeminal Neuralgia|Epilepsies, Myoclonic|Ataxia|Epilepsies, Partial|Acute Disease|Migraine Disorders|Hypertensive Encephalopathy
abobotulinumtoxinA	Dystonia|Hyperalgesia
Rose Bengal	Necrosis|Drug-Induced Liver Injury
monodansylcadaverine	Brain Neoplasms|Glioblastoma
Tegafur	Neoplasm Metastasis|Stomach Neoplasms|Gastrointestinal Neoplasms|Lung Neoplasms|Neoplasms
Phycoerythrin	Diabetes Complications
atherospermine	Seizures|Catalepsy
BOLD protocol	Uveal Neoplasms|Melanoma
Podophyllotoxin	Carcinoma, Transitional Cell|Condylomata Acuminata|Precursor Cell Lymphoblastic Leukemia-Lymphoma
bryophyllin A	Neoplasms, Experimental
N-methyl-N-(6-methoxy-1-phenyl-1,2,3,4-tetrahydronaphthalen-2-ylmethyl)aminomethylcarboxylic acid	Alcoholism
lupeol	Hypercholesterolemia|Carcinoma, Hepatocellular|Skin Neoplasms|Cardiomyopathies|Cataract|Wounds and Injuries|Neoplasms, Experimental
Cardenolides	Heart Failure
TDP 521252	Neoplasms
Berberine	Intestinal Diseases|Amnesia|Fatty Liver, Alcoholic|Cystitis|Insulin Resistance|Prostatic Neoplasms|Pulmonary Fibrosis|Kidney Diseases|Ileal Diseases|Diabetes Mellitus, Type 2|Diabetes Mellitus, Experimental|Necrosis|Bone Resorption|Cell Transformation, Neoplastic|Drug-Induced Liver Injury|Diabetes Mellitus|Hyperglycemia|Pancreatic Neoplasms|Hyperlipidemias|Lung Injury|Edema|Hypercholesterolemia|Neoplasms|Hypertension|Hemorrhage|Osteoporosis|Nerve Degeneration
Zalcitabine	Lymphoma, AIDS-Related|HIV Infections|Acquired Immunodeficiency Syndrome|AIDS-Related Complex
pycnidione	Lung Neoplasms
Canrenoic Acid	Tachycardia, Ventricular|Hypertension
UMI-77	Pancreatic Neoplasms
allyl isothiocyanate	Liver Cirrhosis|Melanoma|Mammary Neoplasms, Experimental|Weight Loss
beractant	Pulmonary Fibrosis|Respiratory Distress Syndrome, Adult
2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one	Neoplasm Invasiveness|Leukemia, Monocytic, Acute|Pain|Edema|Necrosis|Hypertrophy|Hyperalgesia|Nerve Degeneration|Poisoning|Reflex, Abnormal|Urination Disorders|Neoplasms, Hormone-Dependent|Prostatic Neoplasms
Itraconazole	Aspergillosis, Allergic Bronchopulmonary|Paresthesia|Coccidioidomycosis|Coccidiosis|Histoplasmosis|Inflammation|Sporotrichosis|Dermatomycoses|Vaginitis|Aspergillosis|Tinea|Ileus|Candidiasis|Infection|Lung Diseases, Fungal|Mycoses|Onychomycosis|Hyperplasia|Leukemia, Promyelocytic, Acute|Tinea Pedis|Spinal Cord Diseases|Vaginal Diseases|Candidiasis, Invasive|Leishmaniasis, Cutaneous|Blastomycosis|Meningitis, Cryptococcal|Muscle Weakness|Tinea Capitis|Cryptococcosis|Pulmonary Aspergillosis
3-aminopyridine-2-carboxaldehyde thiosemicarbazone	Neoplasms
cyclopamine	Lung Neoplasms
L-3-(3-hydroxy-4-pivaloyloxyphenyl)alanine	Parkinsonian Disorders
filicene	Pain
3-(2,6-dichloro-3,5-dimethoxyphenyl)-1-(6-(4-(4-ethylpiperazin-1-yl)-phenylamino)pyrimidin-4-yl)-1-methylurea	Urinary Bladder Neoplasms
walrycin A	Staphylococcal Infections
3,4,3',4'-tetrachlorobiphenyl	Poisoning
ganyanping	Liver Cirrhosis|Fibrosis
sho-saiko-to-kyo-shokyo-ka-oren-bukuryo	Proteinuria
alpha-Linolenic Acid	Brain Injuries|Movement Disorders|Inflammation|Drug-Induced Liver Injury|Nervous System Diseases|Organophosphate Poisoning|Memory Disorders|Drug-Related Side Effects and Adverse Reactions
MOPP protocol	Hodgkin Disease|Lymphoma, B-Cell
myelin proteolipid protein (139-151)	Encephalomyelitis, Autoimmune, Experimental
5-androstene-3,7,17-triol	Inflammation
Amrinone	Ventricular Dysfunction, Right|Hypotension|Heart Failure|Kidney Diseases|Cardiac Output, Low|Shock, Cardiogenic|Hypertension|Ventricular Dysfunction, Left|Hypertension, Pulmonary|Ventricular Dysfunction|Lung Diseases, Obstructive|Arrhythmias, Cardiac|Bradycardia
3-methyladenine	Stomach Neoplasms|Necrosis|Heart Failure
emodin-6-O-glucoside	Inflammation|Shock, Septic
Endostatins	Hemorrhage|Edema
brassinolide	Breast Neoplasms|Prostatic Neoplasms
(3-aminopropyl)(n-butyl)phosphinic acid	Movement Disorders|Learning Disorders|Memory Disorders
Sulfisoxazole	Urinary Tract Infections|Malaria, Falciparum
fosphenytoin	Seizures|Status Epilepticus|Epilepsy, Tonic-Clonic|Tachycardia, Ventricular
SR 48968	Hypotension|Pain|Edema|Diarrhea|Bronchial Diseases|Urinary Bladder, Overactive|Reflex, Abnormal|Urination Disorders
Benzodiazepines	Premenstrual Syndrome|Seizures|Dystonia|Substance Withdrawal Syndrome|Basal Ganglia Diseases|Poisoning|Alcoholism|Vomiting|Status Epilepticus|Alcohol-Related Disorders|Chest Pain|Cocaine-Related Disorders|Myoclonus|Brain Injuries|Delirium|Myocardial Ischemia|Psychomotor Agitation|Cardiomyopathy, Dilated|Sleep Initiation and Maintenance Disorders
vinorelbine	Neoplasms, Hormone-Dependent|Carcinoma, Lewis Lung|Melanoma|Tonsillar Neoplasms|Mesothelioma|Prostatic Neoplasms|Neoplasms|Disease Progression|Ovarian Neoplasms|Breast Neoplasms|Carcinoma|Carcinoma, Non-Small-Cell Lung|Carcinoma, Squamous Cell|Neoplasm Metastasis|Adenocarcinoma|Carcinoma, Large Cell|Lung Neoplasms|Liver Neoplasms|Pancreatic Neoplasms|Head and Neck Neoplasms
2-methyl-4-(N-propyl-N-cycloproanemethylamino)-5-chloro-6-(2,4,6-trichloranilino)pyrimidine	Arthralgia
6-hydroxymelatonin	Heart Diseases
pozanicline	Nerve Degeneration
flestolol	Tachycardia|Tachycardia, Ventricular|Tachycardia, Supraventricular|Angina Pectoris|Ventricular Fibrillation
