Drug Name	Gene Symbol
(4R)-4-(3-HYDROXYPHENYL)-N,N,7,8-TETRAMETHYL-3,4-DIHYDROISOQUINOLINE-2(1H)-CARBOXAMIDE	KIF11
Cyclizine	SULT1E1|HRH1
2H-1-BENZOPYRAN-2-ONE	CYP2A6
Levocabastine	NTSR2|HRH1
3-(1H-INDOL-3-YL)-4-(1-{2-[(2S)-1-METHYLPYRROLIDINYL]ETHYL}-1H-INDOL-3-YL)-1H-PYRROLE-2,5-DIONE	PDPK1
4,6-Dideoxy-4-{[4,5,6-Trihydroxy-3-(Hydroxymethyl)Cyclohex-2-En-1-Yl]Amino}-Alpha-D-Lyxo-Hexopyranosyl-(1-&gt;4)-Alpha-D-Threo-Hexopyranosyl-(1-&gt;6)-Alpha-L-Threo-Hexopyranose	AMY2A
Jaspisamide A	ACTA1
Nadph Dihydro-Nicotinamide-Adenine-Dinucleotidephosphate	AASS|TXNRD1|DPYD
2-Amino-7-[2-(2-Hydroxy-1-Hydroxymethyl-Ethylamino)-Ethyl]-1,7-Dihydro-Purin-6-One	PNP
Phosphonotyrosine	SRC|HCK|KIT
4-chloro-N-[(2S)-2-methyl-2,3-dihydro-1H-indol-1-yl]-3-sulfamoylbenzamide	CA2
Isopropamide	CHRM4|CHRM3
6-ethyl-5-[(2S)-1-(3-methoxypropyl)-2-phenyl-1,2,3,4-tetrahydroquinolin-7-yl]pyrimidine-2,4-diamine	REN
Simvastatin	ITGB2|HMGCR
13-Acetylphorbol	PRKCD
N-(2,3,4,5,6-Pentaflouro-Benzyl)-4-Sulfamoyl-Benzamide	CA2
2-[3-(5-MERCAPTO-[1,3,4]THIADIAZOL-2YL)-UREIDO]-N-METHYL-3-PENTAFLUOROPHENYL-PROPIONAMIDE	MMP3
Aspartame	TAS1R2|TRPV1
8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-9-Pent-4-Ylnyl-9h-Purin-6-Ylamine	HSP90AA1
Sunitinib	PDGFRB|PDGFRA|CSF1R|KIT|FLT4|FLT3|KDR|FLT1
Fexofenadine	HRH1
Darifenacin	CHRM5|CHRM4|CHRM3|CHRM2|CHRM1
AL6528	CA2
N-(5-Amino-5-Carboxypentyl)Glutamic Acid	AASS
PSN9301	DPP4
L-Alpha-Glycerophospho-D-Myo-Inositol-4,5-Bis-Phosphate	TUB
6-CHLORO-3-(DICHLOROMETHYL)-3,4-DIHYDRO-2H-1,2,4-BENZOTHIADIAZINE-7-SULFONAMIDE 1,1-DIOXIDE	CA2
Ethacrynic acid	ATP1A1
CRA_17693	PRSS1
4-({(2R,5S)-2,5-DIMETHYL-4-[(2R)-3,3,3-TRIFLUORO-2-HYDROXY-2-METHYLPROPANOYL]PIPERAZIN-1-YL}CARBONYL)BENZONITRILE	PDK2
N-(1-benzylpiperidin-4-yl)-4-sulfanylbutanamide	BACE1
5'-O-(N-(L-Cysteinyl)-Sulfamoyl)Adenosine	EPRS
Eniluracil	AOX1|XDH|DPYD
Thymidine-5'- Diphosphate	NME1
Cysteine-S-Acetamide	RNASE1|OAS1
Testolactone	CYP19A1
Duroquinone	NQO1
Arimoclomol	SOD1
Levomethadyl Acetate	OPRM1|CHRNB4|CHRNA3
Ticagrelor	P2RY12
2-[4-(4-Hydroxy-3-Isopropyl-Phenoxy)-3,5-Dimethyl-Phenyl]-2h-[1,2,4]Triazine-3,5-Dione	THRB
D-leucyl-N-(3-chlorobenzyl)-L-prolinamide	F2
3-[(1R)-1-(2,6-dichloro-3-fluorophenyl)ethoxy]-5-(1-piperidin-4-yl-1H-pyrazol-4-yl)pyridin-2-amine	MET
[2(Formyl-Hydroxy-Amino)-Ethyl]-Phosphonic Acid	TPI1
Pralidoxime	ACHE|BCHE
N~2~-(biphenyl-4-ylsulfonyl)-N-hydroxy-N~2~-(2-hydroxyethyl)glycinamide	MMP3
Aminophylline	ADORA1|HDAC2|PDE3A
Ridogrel	TBXA2R|TBXAS1
Meta-Tyrosine	TH
'5'-O-(N-(L-Alanyl)-Sulfamoyl)Adenosine	EPRS
Neramexane	GRIN3A
Oxandrolone	AR
Pirenzepine	CHRM1
4-[[(1E)-2-(4-CHLOROPHENYL)ETHENYL]SULFONYL]-1-[[1-(4-PYRIDINYL)-4-PIPERIDINYL]METHYL]PIPERAZINONE	F10
2-Deoxy-Glucitol-6-Phosphate	ISYNA1
6-[4-(2-fluorophenyl)-1,3-oxazol-5-yl]-N-(1-methylethyl)-1,3-benzothiazol-2-amine	MAPK14
PS433540	EDNRA|AGT
2,3,7,8-tetrahydroxychromeno[5,4,3-cde]chromene-5,10-dione	CSNK2A1
methyl 4-(2,3-dihydroxy-5-methylphenoxy)-2-hydroxy-6-methylbenzoate	GLO1
2,5-O,O-BIS-{4',4''-AMIDINOPHENYL}-1,4:3,6-DIANHYDRO-D-SORBITOL	PRSS1
{3-[(5-CHLORO-1,3-BENZOTHIAZOL-2-YL)METHYL]-2,4-DIOXO-3,4-DIHYDROPYRIMIDIN-1(2H)-YL}ACETIC ACID	AKR1B1
FM-VP4	ABCB1
S-{2-[Amino(Dihydroxy)-Lambda~4~-Sulfanyl]Ethyl}-D-Cysteine	ARG1
(5R)-2-SULFANYL-5-[4-(TRIFLUOROMETHYL)BENZYL]-1,3-THIAZOL-4-ONE	MLLT4
Aetiocholanolone	HSD17B11|SULT2A1
Nicardipine	ADRA1A|CHRM4|CALM3|CACNB2|CHRM5|CACNA1C|CHRM3|CHRM2|CHRM1|CACNA1D|ADRA1B|PDE1B|CACNA2D1|PDE1A|ADRA1D
Carphenazine	DRD5|DRD2|DRD1
Promethazine	ADRA1A|CALM3|DRD2|CHRM5|CHRM4|CHRM3|CHRM2|CHRM1|HTR2A|HRH1
Drostanolone	AR
Dorzolamide	CA2|CA1|CA4
2-Hexyloxy-6-Hydroxymethyl-Tetrahydro-Pyran-3,4,5-Triol	UQCRFS1|UQCRQ|UQCRB|CYTB|CYC1|ETFDH|ABO|UQCR10|UQCRH|SDHA|SDHC|SDHB|UQCRC2|UQCRC1
Triptorelin	GNRHR
Nitroprusside	NPR1
Midodrine	ADRA1A|ADRA1B|ADRA1D
Picrotoxin	GLRA3|GABRR1|GABRA1|GLRA2
(2S)-1-[4-({6-[(2,6-DIFLUOROPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)PHENOXY]-3-(DIMETHYLAMINO)PROPAN-2-OL	CDK2
Homoserine Lactone	SLC9A1
Anagrelide	PDE3A
(2R)-N-HYDROXY-2-[(3S)-3-METHYL-3-{4-[(2-METHYLQUINOLIN-4-YL)METHOXY]PHENYL}-2-OXOPYRROLIDIN-1-YL]PROPANAMIDE	ADAM17
1-[4-(AMINOSULFONYL)PHENYL]-1,6-DIHYDROPYRAZOLO[3,4-E]INDAZOLE-3-CARBOXAMIDE	CCNA2
2-ANILINO-6-CYCLOHEXYLMETHOXYPURINE	CDK2|CCNA2
+/-METHYL 4-(AMINOIMINOMETHYL)-BETA-[3- INH (AMINOIMINO)PHENYL]BENZENE PENTANOATE	PRSS1
3-{6-[(8-HYDROXY-QUINOLINE-2-CARBONYL)-AMINO]-2-THIOPHEN-2-YL-HEXANOYLAMINO}-4-OXO-BUTYRI ACID	CASP1
Double Oxidized Cysteine	CDC25B|PARK7|CDK2|CRYBB1|PTPN1|PREP
(2S,3S)-3-{3-[4-(METHYLSULFONYL)PHENYL]-1,2,4-OXADIAZOL-5-YL}-1-OXO-1-PYRROLIDIN-1-YLBUTAN-2-AMINE	DPP4
Denosumab	TNFSF11
2-(4-CARCOXY-5-ISOPROPYLTHIAZOLYL)BENZOPIPERIDINE	SRC
4,7-Dioxosebacic Acid	ALAD
Doxylamine	CHRM1|HRH1
SGS742	GABBR1|GABBR2
6-HYDROXY-1,3-BENZOTHIAZOLE-2-SULFONAMIDE	CA2|MIF
Morpholine-4-Carboxylic Acid [1-(2-Benzylsulfanyl-1-Formyl-Ethylcarbamoyl)-2-Phenyl-Ethyl]-Amide	CTSS
N-HYDROXY-2(R)-[[(4-METHOXYPHENYL)SULFONYL](3-PICOLYL)AMINO]-3-METHYLBUTANAMIDE HYDROCHLORIDE	MMP12|MMP1
6-[4-(2-piperidin-1-ylethoxy)phenyl]-3-pyridin-4-ylpyrazolo[1,5-a]pyrimidine	ACVR1|FKBP1A
Bifonazole	CYP2B6
Cytisine	CHRNA4|CHRNA6|CHRNA3
Dextroamphetamine	ADRA1A|SLC6A3|ADRA1B|TAAR1|SLC6A2|SLC18A2
Cilansetron	HTR3A
(1R)-MENTHYL HEXYL PHOSPHONATE GROUP	BCHE
(2S)-3-(1-{[2-(2-CHLOROPHENYL)-5-METHYL-1,3-OXAZOL-4-YL]METHYL}-1H-INDOL-5-YL)-2-ETHOXYPROPANOIC ACID	PPARG|NCOA1
Sulodexide	SERPIND1|SERPINC1
5-N-Allyl-Arginine	NOS1
2,5-Diaziridin-1-Yl-3-(Hydroxymethyl)-6-Methylcyclohexa-2,5-Diene-1,4-Dione	NQO1
Tocilizumab	IL6R
Norepinephrine	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3|PAH|SLC18A2
Alvimopan	OPRK1|OPRM1|OPRD1
ANA971	TLR7
Triamterene	SCNN1G|SCNN1D|SCNN1B|SCNN1A
4-BROMO-3-(CARBOXYMETHOXY)-5-(4-HYDROXYPHENYL)THIOPHENE-2-CARBOXYLIC ACID	PTPN1
1,2-Diacyl-Sn-Glycero-3-Phosphoinositol	PITPNA
Metaraminol	ADRA1A
CRA_10991	PRSS1
Miconazole	KCNMB1|NOS2|NOS3|KCNMB4|KCNH2|KCNMB2|KCNMA1|KCNN4|KCNN3|KCNMB3|KCNN1|KCNN2
N-cyclopropyl-6-[(6,7-dimethoxyquinolin-4-yl)oxy]naphthalene-1-carboxamide	KDR
5-CHLORO-THIOPHENE-2-CARBOXYLIC ACID ((3S,4S)-4-FLUORO- 1-{[2-FLUORO-4-(2-OXO-2H-PYRIDIN-1-YL)-PHENYLCARBAMOYL]-METHYL}-PYRROLIDIN-3-YL)-AMIDE	F10
Antiproliferative Agent A771726	DHODH
N-ACETYL-L-PHENYLALANYL-4-[DIFLUORO(PHOSPHONO)METHYL]-L-PHENYLALANINAMIDE	PTPN1
4-(Hydroxymercury)Benzoic Acid	CA2
OPC-14523	SLC6A4
Methohexital	GABRA1
RU85053	SRC
Bretylium	ATP1A1
Secukinumab	IL17A
Prenylamine	MYLK2|CALM3
1-{2-[2-(2-Methoxyethoxy)Ethoxy]Ethoxy}-4-(1,1,3,3-Tetramethylbutyl)Benzene	PLA2G2A
iCo-007	RAF1
Heptulose-2-Phosphate	PYGM
Olanzapine	HTR5A|GABRG3|GABRG2|GABRG1|GABRP|GABRA5|GABRA4|HTR1A|GABRA1|GABRA3|GABRA2|GABRA6|ADRA2A|ADRA2B|ADRA2C|HRH4|HRH2|HTR2C|HTR2B|HTR2A|CHRM5|CHRM4|CHRM3|CHRM2|CHRM1|HTR6|HTR7|GABRD|GABRB1|GABRB2|GABRB3|GABRE|ADRA1A|ADRA1B|DRD4|DRD5|DRD2|DRD3|DRD1|ADRB1|ADRB2|ADRB3|GABRQ|HTR3A|HTR1D|HTR1E|HRH1|HTR1B
Levosimendan	KCNJ11|KCNJ8|PDE3A|TNNC1
Lauryl Dimethylamine-N-Oxide	PMP2|CFL1|DSTN|DHODH|MAOB|RHO|NFE2L1
6s-5,6,7,8-Tetrahydrobiopterin	NOS3
Minoxidil	PTGS1|KCNJ1
Terlipressin	AVPR1B|AVPR2|AVPR1A
1-CYCLOHEXYL-N-{[1-(4-METHYLPHENYL)-1H-INDOL-3-YL]METHYL}METHANAMINE	ESRRA
Valdecoxib	PTGS2
Pitavastatin	HMGCR
Amoxapine	SLC6A3|SLC6A2|SLC6A4|GABRG3|GABRG2|GABRG1|GABRP|GABRA5|GABRA4|GABRA6|GABRA1|GABRA3|GABRA2|ADRA2A|ADRA2B|ADRA2C|HRH4|HTR2A|HTR2C|HTR2B|CHRM4|CHRM5|HRH1|CHRM3|CHRM2|CHRM1|HTR6|HTR7|GABRB1|GABRB2|GABRB3|ADRA1A|ADRA1B|ADRA1D|DRD4|DRD2|DRD3|DRD1|GABRQ|HTR3A|GABRE|GABRD|HTR1A|HTR1B
Enzalutamide	AR
Bosentan	EDNRA|EDNRB
6-O-Cyclohexylmethyl Guanine	CDK2|CCNA2
Phosphoric Acid Mono-[3-Fluoro-5-(5-Methyl-2,4-Dioxo-3,4-Dihydro-2h-Pyrimidin-1-Yl)-Tetrahyro-Furan-2-Ylmethyl] Ester	DTYMK
Sertraline	SLC6A3|SLC6A4
(2R)-3-{[(4Z)-5,6-DIPHENYL-6,7-DIHYDRO-4H-PYRROLO[2,3-D]PYRIMIDIN-4-YLIDENE]AMINO}PROPANE-1,2-DIOL	CHEK1
C-(1-Hydrogyl-Beta-D-Glucopyranosyl) Formamide	PYGM
Nandrolone phenpropionate	AR
5-Thio-a/B-D-Mannopyranosylamine	MAN2A1
METHYL N-({(2S,3S)-3-[(PROPYLAMINO)CARBONYL]OXIRAN-2-YL}CARBONYL)-L-ISOLEUCYL-L-PROLINATE	CTSB
Hexobarbital	GRIA2|GRIK2|CHRNA4|GABRA5|GABRA4|GABRA6|GABRA1|GABRA3|GABRA2
2-[METHYL-(5-GERANYL-4-METHYL-PENT-3-ENYL)-AMINO]-ETHYL-DIPHOSPHATE	PGGT1B|FNTA
2-[2-(2-Cyclohexyl-2-Guanidino-Acetylamino)-Acetylamino]-N-(3-Mercapto-Propyl)-Propionamide	IL2
Osimertinib	EGFR
Fenoldopam	ADRA1A|ADRA1B|ADRA1D|DRD5|ADRA2A|ADRA2B|ADRA2C|DRD1
8-bromo-4-(2-chlorophenyl)-N-(2-hydroxyethyl)-6-methyl-1,3-dioxo-1,2,3,6-tetrahydropyrrolo[3,4-e]indole-7-carboxamide	WEE1
Leucine Phosphonic Acid	LAP3
Biliverdine Ix Alpha	BLVRB|HMOX1|MB
Ramelteon	MTNR1B|MTNR1A
Tenocyclidine	GRIN3A|GRIN2B|GRIN2C|GRIN3B|GRIN2D|GRIN2A
2-amino-5-[3-(1-ethyl-1H-pyrazol-5-yl)-1H-pyrrolo[2,3-b]pyridin-5-yl]-N,N-dimethylbenzamide	ABL1
5-{3-[3-(2,4-DICHLORO-BENZOYL)-UREIDO]-2-METHYL-PHENOXY}-PENTANOIC ACID	PYGM
1-{2-[3-(2-Chloro-4,5-difluoro-benzoyl)-ureido]-4-fluoro-phenyl}-piperidine-4-carboxylic acid	PYGL
(1S)-1-(3-chlorophenyl)-2-oxo-2-[(1,3,4-trioxo-1,2,3,4-tetrahydroisoquinolin-5-yl)amino]ethyl acetate	CASP3
3-[4-AMINO-1-(1-METHYLETHYL)-1H-PYRAZOLO[3,4-D]PYRIMIDIN-3-YL]PHENOL	SRC|PIK3CG
Bromo-Willardiine	GRIA2
Osanetant	TACR3
2-IMINO-5-(1-PYRIDIN-2-YL-METH-(E)-YLIDENE)-1,3-THIAZOLIDIN-4-ONE	CDK2
3'-Phosphate-Adenosine-5'-Diphosphate	RNASE1
D-tartaric acid	ATP6V1C1|HIF1AN|B3GAT1|TREM1|DDX6
Desmopressin	AVPR1B|AVPR2|AVPR1A
Tyrosinal	YARS
Methylphenidate	SLC6A3|SLC6A2|SLC6A4
2-[(5-hex-1-yn-1-ylfuran-2-yl)carbonyl]-N-methylhydrazinecarbothioamide	S100B
Peginesatide	EPOR
Ambenonium	ACHE
(2R)-2-(5-CHLORO-2-THIENYL)-N-{(3S)-1-[(1S)-1-METHYL-2-MORPHOLIN-4-YL-2-OXOETHYL]-2-OXOPYRROLIDIN-3-YL}PROPENE-1-SULFONAMIDE	F2|F10
Alpha-ketoisovalerate	BCAT2
CARBOBENZYLOXY-(L)-LEUCINYL-(L)LEUCINYL METHOXYMETHYLKETONE	CTSH
Formycin	MTAP
N-(2-(((5-CHLORO-2-PYRIDINYL)AMINO)SULFONYL)PHENYL)-4-(2-OXO-1(2H)-PYRIDINYL)BENZAMIDE	F10
N-(1-Adamantyl)-N'-(4-Guanidinobenzyl)Urea	PLAU
6-Hydroxy-1,6-Dihydro Purine Nucleoside	ADA
S-METHYL-GLUTATHIONE	GSTM2
Gentamicin	DHFR|LRP2
4-[5-(4-FLUORO-PHENYL)-2-(4-METHANESULFINYL-PHENYL)-3H-IMIDAZOL-4-YL]-PYRIDINE	MAPK14|MAPK1
Gamma Hydroxybutyric Acid	GABRB1|SLC52A2
motexafin gadolinium	TXNRD2|RRM2|TXNRD1
CTI-01	HMGB1|TNF
(Z,Z)-4-Hydroxy-N,N,N-Trimethyl-10-Oxo-7-[(1-Oxo-9-Octadecenyl)Oxy]-3,5,9-Trioxa-4-Phosphaheptacos-18-En-1-Aminium-4-Oxide	PITPNA
Bimatoprost	PTGFR|PTGER3|PTGER1|AKR1C3
(2S)-6-(2,4-DIAMINO-6-ETHYLPYRIMIDIN-5-YL)-2-(3,5-DIFLUOROPHENYL)-4-(3-METHOXYPROPYL)-2H-1,4-BENZOXAZIN-3(4H)-ONE	REN
4-[3-Hydroxyanilino]-6,7-Dimethoxyquinazoline	CDK2
Misoprostol	PTGER4|PTGER2|PTGER3
Tiludronate	PTPN1|ATP6V1A
Methadone	GRIN3A|OPRM1|OPRD1|CHRNA10|HTR3A
Levamisole	CHRNA3|ALPPL2
Magnesium salicylate	PTGS2|PTGS1
(2S,3S)-3-AMINO-4-[(3S)-3-FLUOROPYRROLIDIN-1-YL]-N,N-DIMETHYL-4-OXO-2-(TRANS-4-[1,2,4]TRIAZOLO[1,5-A]PYRIDIN-5-YLCYCLOHEXYL)BUTANAMIDE	DPP4
NM-702	TBXAS1
(3S,5R,7R,8S,9S,10R)-7-(hydroxymethyl)-3-(4-methylphenyl)-1,6-dioxa-2-azaspiro[4.5]decane-8,9,10-triol	PYGM
2-[1-(4-CHLOROBENZOYL)-5-METHOXY-2-METHYL-1H-INDOL-3-YL]-N-[(1S)-1-(HYDROXYMETHYL)PROPYL]ACETAMIDE	PTGS1
(3R,5Z,8S,9S,11E)-8,9,16-TRIHYDROXY-14-METHOXY-3-METHYL-3,4,9,10-TETRAHYDRO-1H-2-BENZOXACYCLOTETRADECINE-1,7(8H)-DIONE	MAPK1
KD7040	NOS2
Apraclonidine	ADRA1A|ADRA2A|ADRA2B
3-cyclohexyl-D-alanyl-N-(3-chlorobenzyl)-L-prolinamide	F2
Inosine	PNP
1-Benzyl-5-Methoxy-2-Methyl-1h-Indol-3-Yl)-Acetic Acid	PLA2G2A
Elsamitrucin	TOP1|TOP2A
1,2,5-THIADIAZOLIDIN-3-ONE-1,1-DIOXIDE	PTPN1
N-[2-(2-methyl-1H-indol-3-yl)ethyl]thiophene-2-carboxamide	ARPC3|ARPC1B|ARPC5|ARPC4|ARPC2|ACTR3|ACTR2
Bethanidine	KCNJ1|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3
Flurbiprofen Methyl Ester	PTGS1
Quinine	KCNN4|GP9
Atorvastatin	AHR|DPP4|HMGCR
(3aS)-3a-hydroxy-5-methyl-1-phenyl-1,2,3,3a-tetrahydro-4H-pyrrolo[2,3-b]quinolin-4-one	MYH14
Phenylphosphate	SRC
Amido Phenyl Pyruvic Acid	TPSAB1
9-(3-IODOBENZYLAMINO)-1,2,3,4-TETRAHYDROACRIDINE	BCHE
6-methoxy-9-methyl[1,3]dioxolo[4,5-h]quinolin-8(9H)-one	NQO2
[4-(6-Chloro-Naphthalene-2-Sulfonyl)-Piperazin-1-Yl]-(3,4,5,6-Tetrahydro-2h-[1,4']Bipyridinyl-4-Yl)-Methanone	PRSS1
S,S'-(1,4-Phenylene-Bis(1,2-Ethanediyl))Bis-Isothiourea	NOS3
(S)-ATPA	GRIA2
Norleucine	PAH|HNF1A|PTH
Metocurine	CHRM2|CHRNA2
Levofloxacin	TOP2A
(Z)-2-[2-(4-methylpiperazin-1-yl)benzyl]diazenecarbothioamide	S100B
6-[N-(4-(Aminomethyl)Phenyl)Carbamyl]-2-Naphthalenecarboxamidine	PLAU
2-(ETHOXYMETHYL)-4-(4-FLUOROPHENYL)-3-[2-(2-HYDROXYPHENOXY)PYRIMIDIN-4-YL]ISOXAZOL-5(2H)-ONE	MAPK14
5-Iodouracil	DPYD
SD118	TNF|IL1R1
Triflupromazine	HTR2B|DRD2|CHRM2|CHRM1|DRD1
Levothyroxine	THRB|THRA
Atropine	CHRM5|CHRM4|CHRM3|CHRM2|CHRM1
7-Hydroxy-2-Oxo-Chromene-3-Carboxylic Acid Ethyl Ester	MIF
Siltuximab	IL6
Baclofen	GABBR1|GABBR2
[5-(5-nitro-2-furyl)-1,3,4-oxadiazol-2-yl]thio}acetic acid	AKR1B1
Bis(5-Amidino-Benzimidazolyl)Methane	PRSS1
{[4-AMINO-2-(3-CHLOROANILINO)-1,3-THIAZOL-5-YL](4-FLUOROPHENYL)METHANONE	CSNK1G3
4-(2-aminoethoxy)-N-(3-chloro-5-piperidin-1-ylphenyl)-3,5-dimethylbenzamide	PLAU
Reserpine	SLC18A2
3-[3-(4-methylpiperazin-1-yl)-7-(trifluoromethyl)quinoxalin-5-yl]phenol	MET
Creatine	GAMT|CKB|CKMT2|SLC6A8|CKMT1A|CKM
1-(2,6-Dichlorophenyl)-5-(2,4-Difluorophenyl)-7-Piperidin-4-Yl-3,4-Dihydroquinolin-2(1h)-One	MAPK14
Diphenhydramine	HRH1
FARNESYL DIPHOSPHATE	FDPS|FNTA|FNTB|RABGGTB|RABGGTA|GGPS1|KRAS
Methyl Isocyanide	MB
METHYL 3-CHLORO-2-{3-[(2,5-DIHYDROXY-4-METHOXYPHENYL)AMINO]-3-OXOPROPYL}-4,6-DIHYDROXYBENZOATE	HSP90AB1|HSP90B1
Plerixafor	CXCR4
Alrestatin	AKR1B1
2-[4-(DIMETHYLAMINO)PHENYL]-6-HYDROXY-3-METHYL-1,3-BENZOTHIAZOL-3-IUM	ACHE
Nojirimycine Tetrazole	LCT|PYGM
N-{(3S,4S)-4-[(6-AMINO-4-METHYLPYRIDIN-2-YL)METHYL]PYRROLIDIN-3-YL}-N'-(4-CHLOROBENZYL)ETHANE-1,2-DIAMINE	NOS1|NOS3
N-[(4-methoxyphenyl)sulfonyl]-D-alanine	MMP12
6-Phenyl-4(R)-(7-Phenyl-Heptanoylamino)-Hexanoic Acid	PLA2G2A
Rituximab	FCGR2B|FCGR3A|C1QC|C1QB|C1QA|FCGR3B|FCGR1A|C1S|C1R|FCGR2A|MS4A1
5-chloro-N-[(3R)-1-(2-{[2-fluoro-4-(2-oxopyridin-1(2H)-yl)phenyl]amino}-2-oxoethyl)pyrrolidin-3-yl]thiophene-2-carboxamide	F10
(2S)-4-METHYL-2-(3-PHENYLTHIOUREIDO)-N-((3S)-TETRAHYDRO-2-HYDROXY-3-FURANYL)PENTANAMIDE	CAPN1
(2Z)-N-biphenyl-4-yl-2-cyano-3-hydroxybut-2-enamide	DHODH
M-(N,N,N-Trimethylammonio)-2,2,2-Trifluoro-1,1-Dihydroxyethylbenzene	ACHE
5-HYDROXY-3-[(1R)-1-(1H-PYRROL-2-YL)ETHYL]-2H-INDOL-2-ONE	PDPK1
N6-ISOPENTENYL-ADENOSINE-5'-MONOPHOSPHATE	YARS
L-Tyrosine	TAT|YARS2|YARS|TH
3-(2-AMINOQUINAZOLIN-6-YL)-4-METHYL-N-[3-(TRIFLUOROMETHYL)PHENYL]BENZAMIDE	LCK
OMS-103HP	TNF|IL1R1
Trans-6-(2-Phenylcyclopropyl)-Naphthalene-2-Carboxamidine	PLAU
BL-1020	DRD2|HTR2A
Avanafil	PDE5A
Benzamidine	ATOX1|ST14|PLAU|PRSS1|PRSS3|PRSS2|KLK6|ECI1|CSNK2A1
Fluspirilene	CACNG1|HTR2A|DRD2
Hirulog	F2
U-Pi-a-Pi	RNASE1
4-[4-(2,3-DIHYDRO-1,4-BENZODIOXIN-6-YL)-3-METHYL-1H-PYRAZOL-5-YL]-6-ETHYLBENZENE-1,3-DIOL	HSP90AB1|HSP90AA1
Clofibrate	PPARA
5-(5-CHLORO-2-THIENYL)-N-{(3S)-1-[(1S)-1-METHYL-2-MORPHOLIN-4-YL-2-OXOETHYL]-2-OXOPYRROLIDIN-3-YL}-1H-1,2,4-TRIAZOLE-3-SULFONAMIDE	F10
8-ethyl-3,10,10-trimethyl-4,5,6,8,10,12-hexahydropyrazolo[4',3':6,7]cyclohepta[1,2-b]pyrrolo[2,3-f]indol-9(1H)-one	AURKA
MN-305	HTR1A
6-(N-Phenylcarbamyl)-2-Naphthalenecarboxamidine	PLAU
SLV 308	DRD4|DRD2|HTR1A|DRD3
DIETHYL (1R,2S,3R,4S)-5,6-BIS(4-HYDROXYPHENYL)-7-OXABICYCLO[2.2.1]HEPT-5-ENE-2,3-DICARBOXYLATE	NCOA2|ESR1
Oxybutynin	CHRM3|CHRM2|CHRM1
2',3'-Dideoxyadenosine-5'-Triphosphate	DNTT
2-Benzyl-3-Iodopropanoic Acid	CPA1
2-[4-({[(3,5-DICHLOROPHENYL)AMINO]CARBONYL}AMINO)PHENOXY]-2-METHYLPROPANOIC ACID	HBA2|HBB
N-{2'-[(4-FLUOROPHENYL)AMINO]-4,4'-BIPYRIDIN-2-YL}-4-METHOXYCYCLOHEXANECARBOXAMIDE	MAPK10
2-(Oxalyl-Amino)-4,7-Dihydro-5h-Thieno[2,3-C]Pyran-3-Carboxylic Acid	PTPN1
Gemtuzumab ozogamicin	FCGR2B|FCGR3A|CD33|C1QC|C1QB|C1QA|FCGR3B|FCGR1A|C1S|C1R|FCGR2A
HESPERIDIN	AURKB
XL281	RAF1|BRAF
Sevoflurane	GABRG3|GABRG2|GABRG1|GRIA1|GABRA5|GABRA4|GABRA6|GABRA1|GABRA3|ATP5D|ATP2C1|ND1|GABRA2|KCNA1|GABRB1|GABRB2|GABRB3|GLRA1|GABRQ|GABRP|GABRE|GABRD
Phentermine	SLC6A3|SLC6A2|MAOA|MAOB|SLC6A4
Myxothiazol	UQCRC1
Acetyldigitoxin	ATP1A1
3-PYRIDIN-4-YL-2,4-DIHYDRO-INDENO[1,2-.C.] PYRAZOLE	PRKACA|PKIA
Oxalic Acid	SRC
(1S)-2-(1H-INDOL-3-YL)-1-[({5-[(E)-2-PYRIDIN-4-YLVINYL]PYRIDIN-3-YL}OXY)METHYL]ETHYLAMINE	PRKACA|PKIA
XL820	PDGFRB|PDGFRA|KDR|KIT
2-(4-CHLORO-PHENYLAMINO)-NICOTINIC ACID	NMRAL1
CZEN 002	MC1R
Diethylcarbamazine	PTGS1|ALOX5
(6S)-2-amino-6-(3'-methoxybiphenyl-3-yl)-3,6-dimethyl-5,6-dihydropyrimidin-4(3H)-one	BACE1
Diclofenamide	CA2|CA1|CA4
N-Methylnaloxonium	CES1
4-(4-Chlorophenyl)Imidazole	CYP2B6
1-(4-Amidinophenyl)-3-(4-Chlorophenyl)Urea	PRSS1
(2R)-2-(4-CHLOROPHENYL)-2-PHENYLETHANAMINE	PRKACA|PKIA
1,3,2-Dioxaborolan-2-Ol	PRSS3
6-MORPHOLIN-4-YL-9H-PURINE	CHEK1
Dodecane-Trimethylamine	PTPN11
3,6,9,12,15-PENTAOXAHEPTADECAN-1-OL	MCAT
1-{(2S,5S)-4-FLUORO-5-[(TRITYLOXY)METHYL]TETRAHYDROFURAN-2-YL}PYRIMIDINE-2,4(1H,3H)-DIONE	DUT
1-Methoxy-2-[2-(2-Methoxy-Ethoxy]-Ethane	PPIF|PFN2|FYN
Labetalol	ADRA1A|ADRB1|ADRB2|ADRA1B|ADRA1D
TRANS-(1S,2S)-2-AMINO-1,2,3,4-TETRAHYDRONAPHTHALEN-1-OL	PNMT
